"Name","Loyalty to political group","Loyalty to national party","Participation in roll-call votes","","",""
"HIBNER","95.95","99.13","98.92","270","220","3"
"JĘDRZEJEWSKA","95.95","98.00","88.34","270","457","331"
"CADEC","95.96","98.51","92.54","268","351","167"
"KOCH","95.96","96.84","96.45","268","630","30"
"RIVELLINI","95.98","96.80","74.75","267","634","645"
"MICHEL","95.99","100.00","82.13","266","1","527"
"KOZŁOWSKI","96.00","99.34","94.53","264","184","83"
"PODIMATA","96.00","98.41","79.67","264","371","579"
"BERRA","96.01","98.62","73.84","262","332","653"
"JEGGLE","96.01","97.35","97.23","262","558","20"
"ENCIU","96.03","97.22","95.98","260","573","38"
"FISAS AYXELA","96.03","98.51","82.85","260","351","512"
"LE GRIP","96.05","98.49","92.61","257","356","166"
"MILLÁN MON","96.05","99.10","90.86","257","225","228"
"SALAFRANCA SÁNCHEZ-NEYRA","96.05","98.21","89.00","257","416","306"
"ZWIEFKA","96.06","98.90","90.46","256","269","244"
"KARIŅŠ","96.08","99.00","93.03","255","246","149"
"KIRKHOPE","96.09","98.11","62.26","254","432","725"
"BÖGE","96.10","97.17","83.28","249","581","495"
"CORREA ZAMORA","96.10","99.73","82.32","249","162","523"
"GUERRERO SALOM","96.10","98.87","86.54","249","275","395"
"RAPTI","96.10","99.22","87.99","249","206","344"
"SARTORI","96.10","97.88","67.81","249","478","695"
"BÁNKI","96.11","98.74","81.05","246","309","545"
"PALLONE","96.11","97.20","61.27","246","577","731"
"TARABELLA","96.11","99.10","94.10","246","225","100"
"KALNIETE","96.12","98.47","88.75","243","358","314"
"LE BRUN","96.12","98.40","67.04","243","375","703"
"SCHAAKE","96.12","99.09","92.34","243","228","171"
"BASTOS","96.14","98.93","90.49","241","261","240"
"SAKS","96.14","100.00","94.93","241","1","69"
"DE BACKER","96.15","97.68","87.10","237","517","377"
"KOPPA","96.15","97.94","84.37","237","468","466"
"OLBRYCHT","96.15","99.29","89.30","237","193","297"
"PIRILLO","96.15","96.91","73.54","237","623","656"
"NARANJO ESCOBAR","96.16","99.44","63.29","236","176","721"
"BALZ","96.17","96.87","85.58","233","625","434"
"GIRLING","96.17","98.24","91.67","233","406","199"
"VAJGL","96.17","100.00","85.17","233","1","447"
"COMI","96.18","97.80","85.73","231","494","431"
"DANELLIS","96.18","99.32","89.44","231","186","290"
"ANTONESCU","96.19","96.93","94.01","230","618","102"
"FERREIRA","96.20","97.91","86.17","229","473","411"
"LANGEN","96.21","97.24","93.26","228","570","141"
"KLASS","96.22","96.86","97.96","225","627","11"
"MARINESCU","96.22","97.87","92.76","225","480","157"
"VIDAL-QUADRAS","96.22","100.00","87.75","225","1","353"
"BALDASSARRE","96.23","97.68","78.82","219","517","592"
"FLAŠÍKOVÁ BEŇOVÁ","96.23","97.21","88.08","219","575","339"
"GARRIGA POLLEDO","96.23","97.74","66.77","219","506","706"
"KACZMAREK","96.23","99.01","96.06","219","244","36"
"RANGEL","96.23","96.95","78.16","219","613","609"
"ŽDANOKA","96.23","100.00","95.14","219","1","61"
"ARIAS ECHEVERRÍA","96.24","98.90","85.19","216","269","446"
"PROUST","96.24","99.17","71.89","216","216","667"
"YANNAKOUDAKIS","96.24","97.90","83.03","216","476","504"
"VELD","96.25","99.22","95.79","215","206","47"
"FORD","96.27","98.15","86.42","213","427","399"
"GERBRANDY","96.27","99.28","92.03","213","194","185"
"DANJEAN","96.28","99.23","91.87","211","204","193"
"TANNOCK","96.28","98.00","96.42","211","457","31"
"DÍAZ DE MERA GARCÍA CONSUEGRA","96.29","99.06","82.88","209","231","511"
"JORDAN","96.29","99.06","88.23","209","231","334"
"CHICHESTER","96.30","98.80","82.52","206","292","517"
"MORIN-CHARTIER","96.30","98.85","95.04","206","282","63"
"PACK","96.30","97.18","90.95","206","580","226"
"MAYOR OREJA","96.31","98.41","76.61","205","371","629"
"STAVRAKAKIS","96.33","99.45","91.97","203","175","187"
"SÓGOR","96.33","100.00","94.04","203","1","101"
"EHLER","96.34","96.33","78.49","200","661","596"
"JIMÉNEZ-BECERRIL BARRIO","96.34","98.33","81.70","200","390","535"
"ŠADURSKIS","96.34","99.09","94.54","200","228","81"
"BROK","96.35","96.21","75.92","197","670","634"
"COHN-BENDIT","96.35","96.42","81.18","197","653","543"
"MARCINKIEWICZ","96.35","98.89","90.49","197","271","240"
"BRADBOURN","96.36","99.02","62.89","194","242","723"
"ROATTA","96.36","98.02","71.03","194","452","672"
"SCHNIEBER-JASTRAM","96.36","96.41","84.89","194","656","454"
"AUDY","96.38","99.05","97.11","191","236","22"
"FRAGA ESTÉVEZ","96.38","99.47","83.81","191","171","479"
"KARIM","96.38","98.25","70.02","191","403","675"
"ORTIZ VILELLA","96.39","99.38","80.85","189","180","550"
"SILAGHI","96.39","98.77","84.34","189","302","468"
"AUKEN","96.41","100.00","90.39","187","1","254"
"MORKŪNAITĖ-MIKULĖNIENĖ","96.41","98.23","86.38","187","409","402"
"CASINI","96.42","98.15","86.30","186","427","405"
"COCHET","96.46","97.06","80.64","185","593","555"
"FOSTER","96.47","98.65","86.12","184","327","413"
"QUISTHOUDT-ROWOHL","96.48","97.60","65.29","181","533","714"
"SASSOLI","96.48","97.54","75.54","181","540","641"
"ŁUKACIJEWSKA","96.48","98.93","89.79","181","261","271"
"DE CASTRO","96.50","97.12","84.84","180","588","456"
"MAYER","96.51","97.41","90.09","179","551","262"
"HARBOUR","96.53","98.35","93.38","177","387","135"
"PITSILLIDES","96.53","100.00","73.53","177","1","657"
"DROUTSAS","96.55","98.10","53.15","173","435","750"
"MIKOLÁŠIK","96.55","100.00","89.92","173","1","269"
"MIRSKY","96.55","100.00","71.69","173","1","668"
"REPO","96.55","100.00","86.28","173","1","407"
"NEWTON DUNN","96.58","95.94","95.35","172","680","58"
"STEVENSON","96.60","97.80","94.56","171","494","79"
"MILANA","96.61","97.71","76.74","170","511","626"
"MATERA","96.62","98.26","86.81","168","401","390"
"PANAYOTOVA","96.62","97.91","87.35","168","473","366"
"PAPADOPOULOU","96.63","100.00","80.88","166","1","549"
"SWINBURNE","96.63","98.16","85.92","166","425","420"
"ALFONSI","96.64","100.00","87.10","165","1","377"
"BALDINI","96.65","97.49","88.02","163","543","342"
"WEBER","96.65","98.17","92.21","163","421","176"
"BĂSESCU","96.67","97.40","81.55","162","553","537"
"ATKINS","96.69","98.38","64.82","158","380","717"
"HERCZOG","96.69","98.00","80.82","158","457","552"
"VAN ORDEN","96.69","98.41","82.19","158","371","525"
"ZANICCHI","96.69","97.73","89.50","158","507","285"
"IACOLINO","96.70","97.71","89.14","156","511","300"
"PICULA","96.70","97.68","90.40","156","517","251"
"GARGANI","96.71","100.00","56.39","154","1","745"
"SCHNELLHARDT","96.71","96.96","92.72","154","611","161"
"ANDRIKIENĖ","96.74","98.25","83.19","151","403","498"
"GURMAI","96.74","97.88","83.69","151","478","482"
"LAMASSOURE","96.74","98.73","82.89","151","310","510"
"CALLANAN","96.78","98.10","87.57","149","435","357"
"CREŢU","96.78","97.44","77.60","149","546","616"
"ASHWORTH","96.79","98.45","90.68","147","362","235"
"PAŞCU","96.79","98.09","89.13","147","437","301"
"CORREIA DE CAMPOS","96.80","97.84","90.68","146","486","235"
"LÓPEZ-ISTÚRIZ WHITE","96.83","99.50","60.80","145","169","734"
"FOX","96.86","98.65","92.62","143","327","164"
"KIRILOV","96.86","98.72","91.57","143","311","205"
"BOVÉ","96.87","97.55","86.28","141","538","407"
"VĂLEAN","96.87","98.05","79.50","141","449","584"
"PARVANOVA","96.88","100.00","81.65","140","1","536"
"BERLATO","96.90","97.28","85.86","138","565","423"
"PALECKIS","96.90","98.01","68.06","138","454","691"
"KUHN","96.91","96.45","87.42","136","652","364"
"STURDY","96.91","97.92","58.73","136","472","738"
"URUTCHEV","96.93","98.69","92.07","134","323","180"
"WIELAND","96.93","97.34","88.51","134","560","323"
"FAJON","96.95","100.00","81.86","132","1","530"
"HELLVIG","96.95","98.86","62.06","132","279","727"
"KELAM","96.96","100.00","95.96","130","1","39"
"PITTELLA","96.96","97.75","63.22","130","505","722"
"GAHLER","96.97","98.08","93.85","129","439","110"
"GABRIEL","96.99","98.79","93.55","128","296","125"
"STIER","97.00","98.22","83.15","127","414","500"
"GAUZÈS","97.01","97.97","88.41","125","465","329"
"UNGUREANU","97.01","97.21","62.55","125","575","724"
"RAPKAY","97.05","97.77","90.23","124","500","258"
"KUKAN","97.06","100.00","95.76","123","1","49"
"CARONNA","97.07","98.23","91.61","122","409","202"
"HYUSMENOVA","97.08","98.53","91.15","121","348","214"
"PRODI","97.11","97.37","82.06","120","556","529"
"COLLIN-LANGEN","97.12","97.65","78.19","118","524","606"
"SALATTO","97.12","100.00","66.89","118","1","705"
"DUFF","97.17","96.05","94.68","116","675","74"
"McCLARKIN","97.17","98.52","87.62","116","349","356"
"PANZERI","97.19","97.60","79.64","115","533","580"
"MANN","97.21","97.19","94.67","114","579","75"
"NEYTS-UYTTEBROECK","97.24","98.28","75.10","113","400","644"
"STOLOJAN","97.25","98.72","92.53","112","311","168"
"SAUDARGAS","97.27","98.78","89.58","111","299","280"
"DORFMANN","97.28","100.00","95.76","109","1","49"
"WESTPHAL","97.28","98.97","81.34","109","250","540"
"DAERDEN","97.29","99.68","85.76","108","164","429"
"SMOLKOVÁ","97.31","98.51","87.09","107","351","380"
"IVAN","97.32","98.05","70.09","106","449","674"
"BORISSOV","97.33","98.91","83.59","105","266","483"
"DE KEYSER","97.35","98.77","86.24","104","302","409"
"NEVEĎALOVÁ","97.39","98.96","83.13","102","254","501"
"PETERLE","97.39","100.00","82.42","102","1","520"
"ESTRELA","97.40","98.07","87.29","100","440","367"
"ROUČEK","97.40","97.79","90.78","100","496","231"
"DE ANGELIS","97.41","98.45","80.02","97","362","571"
"LUHAN","97.41","97.72","87.75","97","509","353"
"SÂRBU","97.41","98.29","75.98","97","397","633"
"PATRICIELLO","97.43","97.63","55.27","96","527","747"
"ANTONIOZZI","97.44","97.73","57.71","94","507","742"
"VALJALO","97.44","98.36","76.65","94","386","627"
"LA VIA","97.45","99.20","90.26","92","211","257"
"SWOBODA","97.45","95.18","80.06","92","705","570"
"BOŞTINARU","97.46","97.83","95.04","91","488","63"
"TREMATERRA","97.48","98.61","38.05","90","335","762"
"NICULESCU","97.49","97.98","73.39","89","464","659"
"BARTOLOZZI","97.52","98.56","73.68","88","345","655"
"WEBER","97.54","98.16","85.86","87","425","423"
"IOTOVA","97.55","98.96","75.54","85","254","641"
"ZALA","97.55","98.37","81.34","85","384","540"
"REVAULT D'ALLONNES BONNEFOY","97.56","98.17","46.20","84","421","757"
"MÉSZÁROS","97.60","100.00","91.08","83","1","217"
"OVIIR","97.62","99.42","85.30","82","178","443"
"DĂNCILĂ","97.63","99.06","84.37","80","231","466"
"TRÜPEL","97.63","97.94","74.67","80","468","646"
"GUALTIERI","97.64","98.41","92.34","76","371","171"
"GÖNCZ","97.64","98.43","94.43","76","368","86"
"ZVER","97.64","99.01","88.78","76","244","312"
"ŠUICA","97.64","98.61","92.75","76","335","159"
"CLIVETI","97.65","98.86","92.88","74","279","154"
"McINTYRE","97.65","99.24","86.29","74","202","406"
"FRIGO","97.66","97.65","95.02","73","524","66"
"BÜTIKOFER","97.72","97.86","79.86","72","482","576"
"BORSELLINO","97.73","98.45","67.03","71","362","704"
"PREDA","97.74","100.00","99.37","70","1","2"
"MATULA","97.75","98.97","99.41","69","250","1"
"PÖTTERING","97.76","97.52","83.95","68","542","476"
"ROMEVA i RUEDA","97.79","100.00","95.53","67","1","54"
"BENARAB-ATTOU","97.81","98.46","87.79","64","361","352"
"GRÈZE","97.81","98.17","83.19","64","421","498"
"MYNÁŘ","97.81","97.81","69.51","64","491","681"
"MALETIĆ","97.82","99.12","95.35","63","221","58"
"ROSS","97.86","98.06","65.69","62","446","711"
"PLENKOVIĆ","97.87","98.79","90.40","61","296","251"
"BERLINGUER","97.88","97.86","67.72","60","482","696"
"BAGÓ","97.91","96.52","91.68","59","646","198"
"BALČYTIS","97.92","98.96","68.50","57","254","689"
"NEYNSKY","97.92","100.00","80.15","57","1","566"
"LAMBERT","97.98","100.00","92.62","55","1","164"
"MAŇKA","97.98","98.88","92.37","55","274","170"
"CHRYSOGELOS","98.01","100.00","83.09","54","1","502"
"DOMENICI","98.03","98.31","92.03","53","394","185"
"CUTAŞ","98.05","100.00","98.71","51","1","4"
"ŠŤASTNÝ","98.05","100.00","95.83","51","1","45"
"BORZAN","98.08","98.76","88.63","49","306","319"
"MAZEJ KUKOVIČ","98.08","99.19","97.00","49","212","24"
"CRONBERG","98.09","100.00","69.10","48","1","685"
"DONSKIS","98.10","100.00","93.79","46","1","113"
"TAYLOR","98.10","100.00","92.80","46","1","155"
"SAVISAAR-TOOMAST","98.12","99.32","91.60","45","186","203"
"SARGENTINI","98.21","99.64","94.80","44","165","73"
"HASSI","98.24","100.00","92.07","43","1","180"
"DURANT","98.25","100.00","74.54","41","1","648"
"KACIN","98.25","100.00","84.61","41","1","458"
"TURMES","98.26","100.00","89.27","40","1","298"
"RÜHLE","98.27","98.31","87.86","39","394","350"
"BREYER","98.29","98.07","96.86","37","440","26"
"DAUL","98.29","96.30","91.75","37","664","197"
"VERHOFSTADT","98.31","99.11","83.52","36","224","484"
"BESSET","98.33","98.95","81.84","34","259","532"
"RIVASI","98.33","98.71","82.43","34","316","519"
"MALINOV","98.34","100.00","91.84","33","1","195"
"BICEP","98.38","98.23","82.97","30","409","507"
"BLINKEVIČIŪTĖ","98.38","99.72","84.13","30","163","469"
"EICKHOUT","98.38","99.77","92.17","30","158","177"
"FLAUTRE","98.42","98.92","80.10","29","264","568"
"BRZOBOHATÁ","98.44","98.59","93.85","28","338","110"
"BUŠIĆ","98.45","98.75","97.43","26","308","15"
"BÉLIER","98.45","99.07","89.99","26","230","267"
"KOEWIUS","98.49","98.07","89.56","25","440","281"
"LICHTENBERGER","98.51","100.00","94.37","24","1","88"
"KLEVA KEKUŠ","98.55","100.00","66.55","23","1","708"
"ALBRECHT","98.57","98.65","89.38","22","327","293"
"STAES","98.60","100.00","95.75","21","1","51"
"HÄFNER","98.65","98.72","90.62","20","311","238"
"CORNELISSEN","98.68","99.74","88.15","19","161","338"
"DELLI","98.75","99.25","86.21","17","200","410"
"JADOT","98.75","99.48","91.93","17","170","189"
"SCHULZ","98.76","98.87","90.60","16","275","239"
"PETROVIĆ JAKOVINA","98.79","99.17","87.50","15","216","361"
"JOLY","98.82","99.22","67.92","14","206","693"
"KIIL-NIELSEN","98.84","99.31","93.75","12","188","114"
"ZÉRIBI","98.84","98.84","78.27","12","283","604"
"BARBAGALLO","98.87","98.87","50.34","11","275","753"
"SCHROEDTER","98.89","99.00","95.89","10","246","41"
"GIEGOLD","98.90","99.04","92.99","9","238","152"
"SZÁJER","98.98","98.39","92.98","8","376","153"
"HÄUSLING","99.01","99.26","86.91","7","199","387"
"HARMS","99.13","99.31","85.53","6","188","436"
"LUNACEK","99.15","100.00","84.90","5","1","452"
"LAMBERTS","99.18","100.00","93.09","3","1","145"
"LOCHBIHLER","99.18","99.34","91.65","3","184","201"
"KELLER","99.21","99.27","90.85","2","196","230"
"CRAMER","99.29","99.51","81.44","1","168","539"
