"Name","Loyalty to political group","Loyalty to national party","Participation in roll-call votes","","",""
"GOEBBELS","85.51","100.00","80.89","650","1","548"
"TAKKULA","85.52","96.25","84.57","649","669","460"
"WOJCIECHOWSKI","85.60","93.38","77.95","648","727","613"
"BENDTSEN","85.66","100.00","86.55","647","1","394"
"WINKLER","85.68","87.18","90.71","646","743","233"
"CHRISTENSEN","85.71","99.43","91.01","645","177","221"
"GRÓBARCZYK","85.92","97.68","83.95","644","517","476"
"THOMSEN","86.08","96.42","89.71","643","653","274"
"VITKAUSKAITE BERNARD","86.20","100.00","34.73","642","1","763"
"KOWAL","86.32","97.26","87.20","641","568","372"
"PIOTROWSKI","86.36","97.40","94.83","640","553","71"
"CZARNECKI","86.38","95.38","79.83","639","697","577"
"TOMAŠEVSKI","86.39","100.00","82.33","638","1","522"
"MIGALSKI","86.45","98.82","89.77","637","286","272"
"SKYLAKAKIS","86.64","100.00","81.81","636","1","533"
"PORĘBA","86.73","98.35","80.58","635","387","556"
"GRIESBECK","86.92","98.15","94.15","634","427","97"
"BIELAN","86.99","100.00","90.45","633","1","247"
"UGGIAS","87.13","98.80","93.54","632","292","128"
"GALLAGHER","87.17","98.96","87.10","631","254","377"
"SARNEZ","87.19","97.16","80.51","630","582","558"
"SZYMAŃSKI","87.37","97.93","90.75","629","470","232"
"McCARTHY","87.38","96.79","72.62","628","636","661"
"MURPHY","87.53","100.00","85.77","627","1","428"
"MANDERS","87.59","95.81","93.89","626","684","107"
"LEGUTKO","87.64","98.91","77.65","625","266","615"
"LE HYARIC","87.69","95.66","77.09","624","688","623"
"VERGIAT","87.84","95.97","83.87","623","678","478"
"LARSEN-JENSEN","87.85","98.80","78.19","622","292","606"
"SMITH","87.87","100.00","82.69","621","1","514"
"BENNION","87.95","91.19","93.73","620","739","116"
"STRIFFLER","88.01","100.00","92.27","619","1","173"
"FÄRM","88.02","96.88","92.67","618","624","162"
"LÖVIN","88.07","100.00","93.18","617","1","144"
"AYLWARD","88.26","99.89","95.79","615","153","47"
"KRAHMER","88.26","94.74","88.61","615","716","320"
"ROCHEFORT","88.63","97.61","89.96","614","531","268"
"SKINNER","88.74","96.27","87.50","613","667","361"
"LEICHTFRIED","88.81","95.50","90.89","612","694","227"
"WILLMOTT","88.83","99.39","91.31","611","179","210"
"HOWITT","88.86","98.15","79.97","610","427","573"
