Name,Party,Country,Loyalty to political group,Loyalty to national party,Participation in roll-call votes,,,
HUDGHTON Ian,Greens/EFA,United Kingdom,85.23,100.00,69.44
ILCHEV Stanimir,ALDE/ADLE,Bulgaria,95.47,100.00,91.84
MASTELLA Clemente,EPP,Italy,95.52,100.00,53.30
HADJIGEORGIOU Takis,GUE-NGL,Cyprus,85.45,100.00,71.27
ZĪLE Roberts,ECR,Latvia,85.10,100.00,73.77
SOPHOCLEOUS Sophocles,S&D,Cyprus,95.44,100.00,68.92
PITSILLIDES Andreas,EPP,Cyprus,96.53,100.00,73.53
KARI Rina Ronja,GUE-NGL,Denmark,84.42,100.00,95.03
OMARJEE Younous,GUE-NGL,France,84.79,100.00,86.13
LIOTARD Kartika Tamara,GUE-NGL,Netherlands,84.88,100.00,82.27
TRIANTAPHYLLIDES Kyriacos,GUE-NGL,Cyprus,85.46,100.00,89.63
GOEBBELS Robert,S&D,Luxembourg,85.51,100.00,80.89
TOMAŠEVSKI Valdemar,ECR,Lithuania,86.39,100.00,82.33
VITKAUSKAITE BERNARD Justina,ALDE/ADLE,Lithuania,86.20,100.00,34.73
SKYLAKAKIS Theodoros,ALDE/ADLE,Greece,86.64,100.00,81.81
ŽDANOKA Tatjana,Greens/EFA,Latvia,96.23,100.00,95.14
BIELAN Adam,ECR,Poland,86.99,100.00,90.45
PRENDERGAST Phil,S&D,Ireland,95.54,100.00,85.57
TOMAŠIĆ Ruža,ECR,Croatia,94.83,100.00,80.51
SEDÓ i ALABART Salvador,EPP,Spain,95.52,100.00,83.46
SÓGOR Csaba,EPP,Romania,96.33,100.00,94.04
GOERENS Charles,ALDE/ADLE,Luxembourg,93.22,100.00,89.47
BENDTSEN Bendt,EPP,Denmark,85.66,100.00,86.55
IMBRASAS Juozas,EFD,Lithuania,45.79,100.00,87.24
TERHO Sampo,EFD,Finland,64.25,100.00,95.45
CHRYSOGELOS Nikos,Greens/EFA,Greece,98.01,100.00,83.09
ZAMFIRESCU Dan Dumitru,NI,Romania,0.00,100.00,79.22
MÉSZÁROS Alajos,EPP,Slovakia,97.60,100.00,91.08
LAMBERT Jean,Greens/EFA,United Kingdom,97.98,100.00,92.62
IRAZABALBEITIA FERNÁNDEZ Iñaki,Greens/EFA,Spain,94.23,100.00,89.07
DODDS Diane,NI,United Kingdom,0.00,100.00,76.14
STOYANOV Dimitar,NI,Bulgaria,0.00,100.00,75.92
CRONBERG Tarja,Greens/EFA,Finland,98.09,100.00,69.10
ŠŤASTNÝ Peter,EPP,Slovakia,98.05,100.00,95.83
CUTAŞ George Sabin,S&D,Romania,98.05,100.00,98.71
NEYNSKY Nadezhda,EPP,Bulgaria,97.92,100.00,80.15
OBERMAYR Franz,NI,Austria,0.00,100.00,93.46
EHRENHAUSER Martin,NI,Austria,0.00,100.00,87.27
METSOLA Roberta,EPP,Malta,94.82,100.00,96.17
GRIFFIN Nick,NI,United Kingdom,0.00,100.00,84.11
PREDA Cristian Dan,EPP,Romania,97.74,100.00,99.37
ROMEVA i RUEDA Raül,Greens/EFA,Spain,97.79,100.00,95.53
EL KHADRAOUI Saïd,S&D,Belgium,94.31,100.00,95.99
BADIA i CUTCHET Maria,S&D,Spain,95.04,100.00,88.65
TEIXEIRA Nuno,EPP,Portugal,95.09,100.00,92.76
MATIAS Marisa,GUE-NGL,Portugal,94.38,100.00,86.83
STADLER Ewald,NI,Austria,0.00,100.00,91.32
TAYLOR Keith,Greens/EFA,United Kingdom,98.10,100.00,92.80
DONSKIS Leonidas,ALDE/ADLE,Lithuania,98.10,100.00,93.79
PAKSAS Rolandas,EFD,Lithuania,43.01,100.00,67.82
STAES Bart,Greens/EFA,Belgium,98.60,100.00,95.75
LAMBERTS Philippe,Greens/EFA,Belgium,99.18,100.00,93.09
MALINOV Svetoslav Hristov,EPP,Bulgaria,98.34,100.00,91.84
FEIO Diogo,EPP,Portugal,94.67,100.00,91.12
PETERLE Alojz,EPP,Slovenia,97.39,100.00,82.42
KLEVA KEKUŠ Mojca,S&D,Slovenia,98.55,100.00,66.55
LICHTENBERGER Eva,Greens/EFA,Austria,98.51,100.00,94.37
SOSA WAGNER Francisco,NI,Spain,0.00,100.00,90.98
TORVALDS Nils,ALDE/ADLE,Finland,94.75,100.00,88.71
MARTIN Hans-Peter,NI,Austria,0.00,100.00,93.58
BŘEZINA Jan,EPP,Czech Republic,94.61,100.00,90.69
KACIN Jelko,ALDE/ADLE,Slovenia,98.25,100.00,84.61
ROITHOVÁ Zuzana,EPP,Czech Republic,94.13,100.00,95.39
DURANT Isabelle,Greens/EFA,Belgium,98.25,100.00,74.54
HASSI Satu,Greens/EFA,Finland,98.24,100.00,92.07
LUNACEK Ulrike,Greens/EFA,Austria,99.15,100.00,84.90
CLAEYS Philip,NI,Belgium,0.00,100.00,94.25
BRONS Andrew Henry William,NI,United Kingdom,0.00,100.00,95.88
MÖLZER Andreas,NI,Austria,0.00,100.00,79.59
TURMES Claude,Greens/EFA,Luxembourg,98.26,100.00,89.27
STOEP Daniël van der,NI,Netherlands,0.00,99.95,88.16
KAMMEN Patricia van der,NI,Netherlands,0.00,99.94,84.07
AYLWARD Liam,ALDE/ADLE,Ireland,88.26,99.89,95.79
HARTONG Lucas,NI,Netherlands,0.00,99.86,93.55
ZIJLSTRA Auke,NI,Netherlands,0.00,99.83,96.34
ALLAM Magdi Cristiano,EFD,Italy,77.66,99.81,77.12
FLASAROVÁ Věra,GUE-NGL,Czech Republic,81.88,99.78,92.51
EICKHOUT Bas,Greens/EFA,Netherlands,98.38,99.77,92.17
LEPAGE Corinne,ALDE/ADLE,France,76.67,99.77,79.53
VADIM TUDOR Corneliu,NI,Romania,0.00,99.75,61.26
CORNELISSEN Marije,Greens/EFA,Netherlands,98.68,99.74,88.15
CORREA ZAMORA María Auxiliadora,EPP,Spain,96.10,99.73,82.32
BLINKEVIČIŪTĖ Vilija,S&D,Lithuania,98.38,99.72,84.13
DAERDEN Frédéric,S&D,Belgium,97.29,99.68,85.76
SARGENTINI Judith,Greens/EFA,Netherlands,98.21,99.64,94.80
BELET Ivo,EPP,Belgium,94.35,99.64,89.44
GUILLAUME Sylvie,S&D,France,94.69,99.59,92.04
CRAMER Michael,Greens/EFA,Germany,99.29,99.51,81.44
LÓPEZ-ISTÚRIZ WHITE Antonio,EPP,Spain,96.83,99.50,60.80
JADOT Yannick,Greens/EFA,France,98.75,99.48,91.93
SAÏFI Tokia,EPP,France,95.77,99.47,91.37
FRAGA ESTÉVEZ Carmen,EPP,Spain,96.38,99.47,83.81
ZALESKI Zbigniew,EPP,Poland,94.97,99.46,98.46
SÁNCHEZ PRESEDO Antolín,S&D,Spain,95.09,99.46,92.75
STAVRAKAKIS Georgios,S&D,Greece,96.33,99.45,91.97
NARANJO ESCOBAR Juan Andrés,EPP,Spain,96.16,99.44,63.29
CHRISTENSEN Ole,S&D,Denmark,85.71,99.43,91.01
OVIIR Siiri,ALDE/ADLE,Estonia,97.62,99.42,85.30
WILLMOTT Glenis,S&D,United Kingdom,88.83,99.39,91.31
ORTIZ VILELLA Eva,EPP,Spain,96.39,99.38,80.85
BUFTON John,EFD,United Kingdom,54.38,99.38,55.48
BOZKURT Emine,S&D,Netherlands,93.09,99.38,88.52
BRATKOWSKI Arkadiusz Tomasz,EPP,Poland,95.20,99.37,97.35
LOCHBIHLER Barbara,Greens/EFA,Germany,99.18,99.34,91.65
KOZŁOWSKI Jan,EPP,Poland,96.00,99.34,94.53
DANELLIS Spyros,S&D,Greece,96.18,99.32,89.44
SAVISAAR-TOOMAST Vilja,ALDE/ADLE,Estonia,98.12,99.32,91.60
HARMS Rebecca,Greens/EFA,Germany,99.13,99.31,85.53
KIIL-NIELSEN Nicole,Greens/EFA,France,98.84,99.31,93.75
ANDRIEU Eric,S&D,France,94.59,99.31,78.19
MENÉNDEZ del VALLE Emilio,S&D,Spain,95.14,99.30,88.45
AUCONIE Sophie,EPP,France,94.77,99.30,88.95
OLBRYCHT Jan,EPP,Poland,96.15,99.29,89.30
KÖSTINGER Elisabeth,EPP,Austria,94.20,99.28,98.06
GERBRANDY Gerben-Jan,ALDE/ADLE,Netherlands,96.27,99.28,92.03
GARDIAZÁBAL RUBIAL Eider,S&D,Spain,95.16,99.27,86.98
KELLER Franziska,Greens/EFA,Germany,99.21,99.27,90.85
LØKKEGAARD Morten,ALDE/ADLE,Denmark,93.10,99.27,84.01
HÄUSLING Martin,Greens/EFA,Germany,99.01,99.26,86.91
DELLI Karima,Greens/EFA,France,98.75,99.25,86.21
SCHALDEMOSE Christel,S&D,Denmark,85.42,99.25,95.66
VERGNAUD Bernadette,S&D,France,94.78,99.24,94.97
McINTYRE Anthea,ECR,United Kingdom,97.65,99.24,86.29
DANJEAN Arnaud,EPP,France,96.28,99.23,91.87
GARCÍA PÉREZ Iratxe,S&D,Spain,94.95,99.23,91.90
RAPTI Sylvana,S&D,Greece,96.10,99.22,87.99
TRAUTMANN Catherine,S&D,France,94.09,99.22,88.06
VELD Sophia in 't,ALDE/ADLE,Netherlands,96.25,99.22,95.79
JOLY Eva,Greens/EFA,France,98.82,99.22,67.92
LE PEN Jean-Marie,NI,France,0.00,99.21,66.53
LA VIA Giovanni,EPP,Italy,97.45,99.20,90.26
ROMERO LÓPEZ Carmen,S&D,Spain,95.31,99.19,82.95
MAZEJ KUKOVIČ Zofija,EPP,Slovenia,98.08,99.19,97.00
KALINOWSKI Jarosław,EPP,Poland,95.94,99.18,91.19
TURUNEN Emilie,S&D,Denmark,91.79,99.18,83.26
PROUST Franck,EPP,France,96.24,99.17,71.89
PETROVIĆ JAKOVINA Sandra,S&D,Croatia,98.79,99.17,87.50
MITCHELL Gay,EPP,Ireland,92.24,99.16,88.16
PIRKER Hubert,EPP,Austria,93.76,99.14,95.02
HIBNER Jolanta Emilia,EPP,Poland,95.95,99.13,98.92
JENSEN Anne E.,ALDE/ADLE,Denmark,93.59,99.12,85.96
MALETIĆ Ivana,EPP,Croatia,97.82,99.12,95.35
ABELA BALDACCHINO Claudette,S&D,Malta,90.49,99.12,87.43
VERHOFSTADT Guy,ALDE/ADLE,Belgium,98.31,99.11,83.52
SKRZYDLEWSKA Joanna Katarzyna,EPP,Poland,95.94,99.10,93.72
TARABELLA Marc,S&D,Belgium,96.11,99.10,94.10
MILLÁN MON Francisco José,EPP,Spain,96.05,99.10,90.86
SCHAAKE Marietje,ALDE/ADLE,Netherlands,96.12,99.09,92.34
ŠADURSKIS Kārlis,EPP,Latvia,96.34,99.09,94.54
BÉLIER Sandrine,Greens/EFA,France,98.45,99.07,89.99
KARAS Othmar,EPP,Austria,93.82,99.06,85.32
